Rank,Title,Band,Country,Year,Compilation,Live,YearRank,DecadeRank,OverallRank,RankScore,AvgRating,NumRatings,AlbumID,Notes
1,Hounds Of Love,Kate Bush,uk,1985,No,No,1,7,58,19462,84.93804169,1322,137,
2,Remain In Light,Talking Heads,us,1980,No,No,1,3,27,31163,87.20041657,2208,285,
3,Closer,Joy Division,uk,1980,No,No,2,10,79,17050,85.40919495,1858,135,
4,Computerwelt [Computer World],Kraftwerk,de,1981,No,No,2,76,517,3514,80.61658478,522,3010,
5,3 Feet High And Rising,De La Soul,us,1989,No,No,6,68,479,3796,78.43641663,564,78,
6,Sign 'O' The Times,Prince,us,1987,No,No,3,22,176,9272,81.09809113,907,216,
7,The Queen Is Dead,The Smiths,uk,1986,No,No,1,1,17,39703,87.87373352,2821,259,
8,Isn't Anything,My Bloody Valentine,un,1988,No,No,6,65,463,3895,79.92428589,673,1347,
9,Spirit Of Eden,Talk Talk,uk,1988,No,No,3,18,137,11277,83.72309113,958,1192,
10,Hatful Of Hollow,The Smiths,uk,1984,No,No,6,33,256,6911,85.5131073,997,256,
11,Murmur,R.E.M.,us,1983,No,No,1,19,141,10787,82.86405182,1373,226,
12,Disintegration,The Cure,uk,1989,No,No,2,4,31,28311,86.30536652,1954,1098,
13,Daydream Nation,Sonic Youth,us,1988,No,No,1,8,69,17988,83.82762146,1817,261,
14,Dare,The Human League,uk,1981,No,No,8,126,813,2225,75.27191162,441,112,
15,Nebraska,Bruce Springsteen,us,1982,No,No,5,41,323,5604,79.6232605,955,1068,
16,The Stone Roses,The Stone Roses,uk,1989,No,No,3,5,34,26318,85.84950256,2217,273,
17,Doolittle,Pixies,us,1989,No,No,1,2,18,38298,88.2640152,2861,206,
18,It Takes A Nation Of Millions To Hold Us Back,Public Enemy,us,1988,No,No,4,31,250,7024,79.85662842,965,219,
19,Purple Rain,Prince And The Revolution,us,1984,No,No,1,11,81,16641,83.36719513,1585,215,
20,Rattlesnakes,Lloyd Cole And The Commotions,uk,1984,No,No,18,141,913,1970,77.13664246,209,2178,
21,Surfer Rosa,Pixies,us,1988,No,No,2,12,97,13772,84.55670166,1817,207,
22,Psychocandy,The Jesus And Mary Chain,uk,1985,No,No,5,37,296,6113,79.51391602,892,124,
23,Avalon,Roxy Music,uk,1982,No,No,6,70,487,3685,78.78003693,605,2297,
24,Steve McQueen,Prefab Sprout,uk,1985,No,No,9,84,541,3361,78.77628326,351,210,
25,My Life In The Bush Of Ghosts,Brian Eno & David Byrne,un,1981,No,No,5,100,655,2738,77.24315643,416,2147,
26,The Lexicon Of Love,ABC,uk,1982,No,No,20,200,1231,1443,76.88948059,255,324,
27,Thriller,Michael Jackson,us,1982,No,No,1,9,78,17057,82.27355957,2096,166,
28,Parade,Prince And The Revolution,us,1986,No,No,14,177,1117,1595,76.93338776,380,1724,
29,Paul's Boutique,Beastie Boys,us,1989,No,No,4,29,232,7388,81.75669098,1005,22,
30,Technique,New Order,uk,1989,No,No,11,115,781,2317,78.09246826,480,182,
31,Graceland,Paul Simon,us,1986,No,No,3,16,126,11956,81.20124054,1307,196,
32,Scary Monsters... And Super Creeps,David Bowie,uk,1980,No,No,4,40,308,5934,80.96472168,1072,1991,
33,I'm Your Man,Leonard Cohen,ca,1988,No,No,12,112,730,2467,79.2762146,362,2633,
34,The Head On The Door,The Cure,uk,1985,No,No,7,52,381,4737,81.50836945,763,2050,
35,Cupid & Psyche 85,Scritti Politti,uk,1985,No,No,53,599,3975,362,70.41083527,98,5744,
36,Searching For The Young Soul Rebels,Dexys Midnight Runners,uk,1980,No,No,29,184,1149,1551,75.70910645,259,82,
37,Rain Dogs,Tom Waits,us,1985,No,No,2,14,108,13184,84.22576141,1298,1365,
38,The Nightfly,Donald Fagen,us,1982,No,No,9,93,595,2994,77.12320709,360,85,
39,Treasure,Cocteau Twins,uk,1984,No,No,10,58,423,4277,81.63834381,612,333,
40,"Power, Corruption & Lies",New Order,uk,1983,No,No,3,30,249,7035,81.37705231,905,1663,
41,Blood & Chocolate,Elvis Costello And The Attractions,uk,1986,No,No,43,451,2904,526,74.86219788,177,94,
42,Bummed,Happy Mondays,uk,1988,No,No,52,591,3919,368,73.32821655,116,7445,
43,Juju,Siouxsie And The Banshees,uk,1981,No,No,4,96,620,2885,79.59274292,414,984,
44,King Of America,The Costello Show Featuring The Attractions And Confederates,uk,1986,No,No,31,343,2247,720,77.00203705,168,6803,
45,Swordfishtrombones,Tom Waits,us,1983,No,No,7,50,372,4899,81.5247879,724,1226,
46,Darklands,The Jesus And Mary Chain,uk,1987,No,No,15,128,829,2163,79.38168335,368,4753,
47,New York,Lou Reed,us,1989,No,No,10,109,723,2513,77.44010162,424,961,
48,Imperial Bedroom,Elvis Costello And The Attractions,uk,1982,No,No,11,122,805,2248,77.68965149,375,350,
49,Hex Enduction Hour,The Fall,uk,1982,No,No,18,195,1216,1463,77.78201294,241,4282,
50,Around The World In A Day,Prince And The Revolution,us,1985,No,No,18,212,1322,1330,77.06466675,342,2617,
51,Hats,The Blue Nile,uk,1989,No,No,15,183,1144,1557,79.5185318,205,5320,
52,The Smiths,The Smiths,uk,1984,No,No,3,23,188,8798,82.69298554,1434,260,
53,Ocean Rain,Echo & The Bunnymen,uk,1984,No,No,13,64,460,3921,79.34082794,585,91,
54,This Nation's Saving Grace,The Fall,uk,1985,No,No,15,144,946,1908,78.46004486,427,1461,
55,Floodland,The Sisters Of Mercy,uk,1987,No,No,31,237,1520,1144,79.26452637,190,6067,
56,The Dreaming,Kate Bush,uk,1982,No,No,2,34,265,6705,81.33336639,745,1395,
57,Crocodiles,Echo & The Bunnymen,uk,1980,No,No,37,270,1736,982,77.59521484,251,1484,
58,Back In Black,AC/DC,au,1980,No,No,3,17,136,11327,79.83126831,1823,2,
59,"High Land, Hard Rain",Aztec Camera,uk,1983,No,No,28,278,1778,955,76.44522858,168,14,
60,First And Last And Always,The Sisters Of Mercy,uk,1985,No,No,25,291,1874,893,77.65895844,162,6740,
61,You Can't Hide Your Love Forever,Orange Juice,uk,1982,No,No,28,267,1729,986,78.33952332,157,8250,
62,Non-Stop Erotic Cabaret,Soft Cell,uk,1981,No,No,25,293,1892,886,74.04801178,190,7408,
63,So,Peter Gabriel,uk,1986,No,No,4,28,229,7469,80.30796051,897,202,
64,Secrets Of The Beehive,David Sylvian,uk,1987,No,No,25,201,1239,1430,79.27429962,174,2964,
65,Sandinista!,The Clash,uk,1980,No,No,13,113,735,2447,76.05580139,638,1789,
66,Apollo: Atmospheres & Soundtracks,Brian Eno With Daniel Lanois & Roger Eno,un,1983,No,No,23,213,1329,1323,80.47853088,234,4831,
67,Faith,The Cure,uk,1981,No,No,7,121,799,2274,77.69874573,564,2768,
68,Kilimanjaro,The Teardrop Explodes,uk,1980,No,No,55,420,2718,571,74.99530029,126,7404,
69,"Strangeways, Here We Come",The Smiths,uk,1987,No,No,4,36,275,6419,81.34075928,1096,258,
70,The House Of Love,The House Of Love,uk,1988,No,No,40,456,2919,523,75.57990265,102,6328,
71,Miss America,Mary Margaret O'Hara,ca,1988,No,No,59,663,4488,312,76.44958496,62,161,
72,Songs The Lord Taught Us,The Cramps,us,1980,No,No,53,404,2621,594,73.55510712,165,7399,
73,More Specials,The Specials,uk,1980,No,No,73,551,3580,410,73.05489349,108,7405,
74,Skylarking,XTC,uk,1986,No,No,5,48,368,4947,80.19408417,615,2295,
75,Sulk,The Associates,uk,1982,No,No,52,452,2905,525,72.25435638,75,7418,
76,A Secret Wish,Propaganda (DE),de,1985,No,No,36,437,2834,544,79.00457001,73,9311,
77,Lifes Rich Pageant,R.E.M.,us,1986,No,No,9,78,521,3507,79.70948792,729,1647,
78,Low-Life,New Order,uk,1985,No,No,12,94,599,2980,79.85887909,466,181,
79,Playing With Fire,Spacemen 3,uk,1989,No,No,34,415,2682,578,77.34600067,125,7460,
80,Crazy Rhythms,The Feelies,us,1980,No,No,12,107,717,2543,78.44477081,425,2294,
81,Underwater Moonlight,The Soft Boys,uk,1980,No,No,36,229,1464,1188,77.90258026,218,5703,
82,Gaucho,Steely Dan,us,1980,No,No,17,130,847,2112,77.74385834,343,268,
83,Sound Affects,The Jam,uk,1980,No,No,20,147,958,1872,78.77874756,367,1710,
84,The River,Bruce Springsteen,us,1980,No,No,7,61,441,4100,78.78707886,833,1201,
85,Please,Pet Shop Boys,uk,1986,No,No,24,285,1816,927,75.91046143,200,3235,
86,Soul Mining,The The,uk,1983,No,No,13,143,925,1946,77.02098084,298,2045,
87,Peter Gabriel III,Peter Gabriel,uk,1980,No,No,6,56,411,4402,81.33452606,567,2368,
88,Songs From The Big Chair,Tears For Fears,uk,1985,No,No,6,44,335,5400,79.26172638,651,2812,
89,Odyshape,The Raincoats,uk,1981,No,No,70,585,3845,376,74.15614319,51,25204,
90,Seventeen Seconds,The Cure,uk,1980,No,No,11,97,622,2866,78.57808685,652,3964,
91,Born In The U.S.A.,Bruce Springsteen,us,1984,No,No,4,24,201,8313,78.00426483,1286,53,
92,Rum Sodomy & The Lash,The Pogues,uk,1985,No,No,10,89,590,3020,78.45104981,389,1233,
93,Control,Janet Jackson,us,1986,No,No,26,297,1917,876,71.30228424,198,1535,
94,Pornography,The Cure,uk,1982,No,No,4,39,306,5941,80.15436554,941,1119,
95,Forever Breathes The Lonely Word,Felt,uk,1986,No,No,49,481,3132,480,79.18675995,84,4999,
96,Infected,The The,uk,1986,No,No,23,261,1674,1025,74.00225067,158,1485,
97,Meat Is Murder,The Smiths,uk,1985,No,No,4,32,253,6945,81.77503967,1246,257,
98,The Colour Of Spring,Talk Talk,uk,1986,No,No,6,60,428,4219,80.24787903,544,283,
99,Reckoning,R.E.M.,us,1984,No,No,15,81,534,3425,79.62028503,660,5204,
100,Album,Public Image Ltd.,uk,1986,No,No,60,655,4413,319,74.34098816,83,6375,
